Number,entry,meaning
137,anonymous,匿名の
138,anticipate,期待する
139,anticipated,期待した
140,antitrust,独占禁止法
141,anxiety,心配，不安
142,anyway,ともかく
143,apart,離れて
144,apologize,謝罪する
145,apology,謝罪
146,apparatus,器具，装置
147,apparent,外見上の，明らかな
148,appeal,訴える
149,appear,現れる，のように思われる
150,appearance,出現，外見
151,appetite,食欲
152,appetizer,前菜
153,applaud,拍手する
154,appliance,器具
155,applicable,該当する
156,applicant,応募者，候補者
157,application,申し込み，応用
158,applied,適用した
159,apply,を適用する、当てはまる
160,appoint,任命する，指名する
161,appointment,約束
162,appraisal,鑑定，見積もり
163,appraisee,鑑定人
164,appreciate,感謝する
165,appreciation,感謝
166,apprentice,見習い、実習生
167,apprenticeship,見習い
168,approach,に近づく
169,appropriate,適当な，適切な
170,approval,承認
171,approve,承認する
172,approved,承認した
173,approximate,およその
174,approximately,おおよそ
175,aptitude,適性
176,arbitrary,恣意的な、任意の
177,arbitration,仲裁
178,arbitrator,仲裁人
179,architect,建築家
180,architecture,建築
181,archive,記録保管場所
182,arena,舞台
183,argue,だと主張する
184,arise,起こる，生じる
185,arithmetic,算数
186,arms,武器，兵器
187,army,陸軍
188,arrange,（を）計画・準備する
189,arranged,手配された
190,arrangement,手配
191,array,整列させる
192,arrest,逮捕する
193,arrive,到着する
194,art,美術、芸術
195,article,記事、文章
196,artificial,人工的な，作り物の
197,artistic,芸術的な
198,artwork,芸術作品
199,ascend,昇る
200,ash,灰
201,Asia,アジア
202,aspect,側面
203,assault,暴行
204,assemble,組み立てる
205,assembly,集合
206,assessment,評価
207,asset,資産
208,assign,割り当てる
209,assigned,割り当てた、任命した
210,assignment,宿題
211,assist,手伝う
212,assistance,支援
213,assistant,助手
214,Associate,を結びつけて考える
215,association,協会、組合
216,assume,想定する
217,assumption,想定，思いこみ
218,assurance,保証
219,assure,保証する
220,astonish,びっくりさせる
221,athletic,競技の
222,atlantic,大西洋の
223,atmosphere,雰囲気
224,atomic,原子の，原子力の
225,attach,を貼り付ける，を取り付ける
226,attached,添付された
227,attachment,付属物
228,attain,を実現する，達成する
229,attempt,企てる
230,attend,に出席する
231,attendance,出席
232,attendant,付き添いの，付帯の
233,attendee,出席者
234,attending,出席している
235,attention,注意、注目
236,attentive,注意深い
237,attire,服装
238,attitude,考え方，態度
239,attorney,弁護士
240,attract,を引きつける
241,attribute,に帰する
242,audience,聴衆，観客，視聴者
243,audit,監査
244,auditorium,講堂
245,authentic,本物の
246,author,著者，作家
247,authority,権威
248,authorize,許可する
249,automated,自動化された
250,automobile,自動車
251,availability,可用性
252,available,利用できる、人の手があいている
253,avenue,通り，大通り
254,aviation,航空，航空機産業
255,avoid,を避ける
256,await,待つ
257,award,賞
258,aware,気づいている
259,Awareness,気づき
260,awful,ひどい
261,awkward,ぎこちない
262,back,裏の、後ろの
263,background,背景，経歴
264,baggage,荷物
265,baked,焼いた
266,ban,禁止する
267,bang,ドンドン叩く
268,bank,銀行、土手
269,bankruptcy,倒産
270,banquet,宴会
271,barely,かろうじて
272,barn,納屋
273,batch,ひとまとめ
274,battery,電池
275,bear,我慢する
276,because,なぜなら
277,become,～になる
278,beforehand,あらかじめ、事前に
279,beg,を乞う
280,begin,始まる
281,behalf,代わって
282,behave,振る舞う
283,believe,信じる
284,belly,腹，腹部
285,belong,ものである
286,belongings,持ち物
287,benchmark,基準
288,bend,曲げる
289,beneath,下に
290,beneficial,有益な
291,benefit,利益/に利益をもたらす
292,between,A and B ～と～の間
293,beverage,飲料
294,Beyond,を超えて
295,bias,偏見，先入観
296,bid,入札する
297,bill,請求書，紙幣，法案
298,billing,請求書
299,billion,10億
300,bind,縛りつける
301,biography,伝記
302,biological,生物学上の
303,bite,を噛む
304,biweekly,隔週の
305,blame,非難する
306,blank,白紙の
307,blaze,火炎
308,blend,混ぜる
309,bless,祝福する
310,blink,まばたきをする/まばたき
311,bloom,咲く
312,blow,（を）吹く/打撃
313,boast,自慢する
314,bold,勇敢な
315,bomb,爆弾
316,bond,拘束、きずな
317,book,予約する
318,booking,予約
319,boost,を強化する，増加させる
320,boredom,退屈
321,borrowing,借入
322,botanical,植物の
323,both,両方の
324,bottom,底
325,boulevard,大通り
326,bow,お辞儀をする/お辞儀
327,branch,枝，支店
328,breach,違反
329,breadth,幅
330,breakdown,明細，内訳
331,breathtaking,息をのむような
332,bride,花嫁
333,bridge,橋
334,brief,短い
335,bright,明るい
336,brilliant,すばらしい
337,brim,へり，縁
338,broadcast,を放送する
339,brochure,小冊子
340,brokerage,仲介
341,browse,見て回る，拾い読みする
342,budget,予算
343,bug,虫、故障
344,bulk,大きさ
345,bulletin,速報，告示
346,bundle,束
347,burden,重荷，負担
348,bureau,事務局，たんす
349,burst,破裂する，を破裂させる
350,bury,埋める
351,business card,名刺
352,busy,忙しい
353,buy,買う
354,cage,かご、おり
355,calculation,計算
356,campaign,政治的運動
357,candidate,候補者、志願者
358,capability,容量
359,capable,可能性がある，しかねない，有能な
360,capacity,最大容量、能力
361,cape,岬
362,capital,首都
363,capitalisation,資本化
364,capitalism,資本主義
365,carbohydrate,炭水化物
366,carbon,炭素
367,cargo,貨物
368,carpenter,大工
369,carry-on,続ける
370,carting,配膳，食事提供
371,cartoon,漫画
372,carve,切り分ける，刻む
373,case,場合、容器
374,cashflow,現金流量
375,cast,投げる
376,casual,何気ない
377,casualty,犠牲者
378,category,部門，部類
379,catering,出前，仕出し
380,cathedral,大聖堂
381,cause,原因/の原因となる，
382,caused,引き起こした
383,cavalry,騎兵
384,cave,ほら穴
385,cavity,空洞，虫歯
386,cease,やめる，終わる
387,ceiling,天井
388,celebration,お祝い
389,cell,細胞
390,century,世紀
391,CEO,代表取締役
392,ceremonial,儀式上の、形式的な
393,ceremony,式
394,certain,確かな
395,certainly,確かに
396,certificate,証明書
397,certified,有資格の、公認の
398,chain,くさり
399,chairman,会長
400,charge,非難、料金、管理/に請求する
401,charm,魅力/を魅了する
402,chart,表，図
403,checkup,検診
404,cheek,頬
405,chemical,化学の/化学製品
406,chemistry,化学
407,cheque,小切手
408,childhood,子供時代
409,chronicle,年代記
410,church,教会
411,circumstance,事情
412,civilization,文明
413,clarify,明らかにする
414,clarity,明快さ
415,clasp,留め具、金具
416,class,階級，等級，授業，学級
417,clause,節，条項
418,clay,粘土
419,clearance,片付け，除去
420,clearly,明確に
421,clerical,事務職の
422,clerk,店員
423,client,顧客
424,climate,気候
425,cling,しがみつく，固執する
426,clinic,診療所
427,closely,綿密に，密接に
428,closure,閉鎖
429,clothing,衣料品
430,clue,手がかり
431,clutter,乱雑
432,coalition,連立、連合
433,coincide,同時に起こる
434,coincidence,偶然
435,collaborate,協力する
436,collapse,崩壊する
437,colleague,同僚
438,collect,集める
439,college,大学
440,colony,植民地
441,colossal,巨大な，途方もなく大きい
442,column,柱、段
443,combat,戦闘
444,combination,組み合わせ
445,combine,を結合させる
446,comfortable,快適な、居心地のよい
447,commemorate,祝う、記念する
448,commercial,商業の
449,commission,手数料
450,commissioned,委託された
451,commissioner,委員、理事
452,commit,罪などを犯す
453,commitment,委託、献身
454,committee,委員会
455,common,共通の
456,communist,共産主義者
457,community,共同社会
458,commute,通勤する
459,commuter,通勤者
460,companion,連れ，仲間
461,company,会社、仲間
462,comparable,比較できる
463,compare,を比較する，をたとえる
464,compared,比較された
465,comparison,比較
466,compatible,互換性のある
467,compensate,補償する
468,compensation,補償
469,compete,競争する
470,competence,力量，能力
471,competent,有能な
472,competition,競争、競争相手
473,competitive,競争力のある
474,competitor,競合他社
475,compile,編集する
476,complain,不満を言う
477,complaint,不満
478,complement,補足物
479,complete,完全な
480,completed,完成した
481,complex,複雑な
482,complexity,複雑さ
483,compliance,社会規範
484,complicate,複雑にする
485,complicated,複雑な
486,complication,複雑さ、混乱
487,compliment,褒め言葉
488,complimentary,無料の，賞賛の，敬意を表する
489,comply,準拠する
490,component,成分，部品
491,compose,構成する
492,composition,構成，楽曲
493,compost,混合物
494,compound,調合する
495,comprehend,理解する
496,comprehension,理解
497,comprehensive,包括的な
498,compromise,妥協
499,compulsory,義務的な
500,conceal,隠す，隠れる
501,concede,譲歩する
502,conceive,構想する
503,concentrate,集中する
504,concentrated,集中的な、濃縮された
505,concern,懸案する
506,concerned,関わっている、心配している
507,concession,譲歩
508,concise,簡潔な
509,conclude,締めくくる，という結論を下す
510,conclusion,結論
511,concrete,具体的な
512,condemn,責める
513,condense,凝縮する
514,condition,条件、状態
515,conduct,行う
516,conducted,導かれた
517,conducting,導いている
518,conductor,導体，案内人，指揮者
519,conference,会議
520,confess,告白する
521,confidence,自信，信頼
522,confident,自信のある
523,confidential,機密の
524,confine,限る，を閉じこめる
525,confirm,を確認する
526,confirmation,確認
527,conflict,対立，争い
528,conform,従う、一致する
529,confront,直面させる
530,confusion,混乱
531,conglomerate,密集した
532,congratulate,お祝いする
533,congratulation,祝福
534,conquest,征服，占領
535,conscious,意識して，気づいて
536,consensus,同意
537,consent,同意する
538,consequential,重大な，必然の
539,consequently,その結果
540,conservation,保存，管理，維持
541,conservative,保守的な
542,conservatively,保守的に
543,conserve,保存する
544,consider,について考える
545,considerable,かなりの
546,considerably,かなり
547,considerate,思いやりがある、理解がある
548,consideration,考慮
549,considered,考慮された
550,considering,考慮している
551,consignment,委託
552,consist,成り立つ，存在する
553,consistently,持続的に
554,consolidate,統合する
555,consolidation,統合
556,consortium,連合
557,constant,絶え間ない
558,constitute,構成する
559,constitution,憲法
560,construct,を組み立てる，を建造する
561,construction,建設
562,constructive,建設的な
563,consult,相談する
564,consume,～を消費する
565,consumer,消費者
566,consumption,消費
567,contact,と連絡をとる/接触、連絡
568,contain,を含む，が入っている
569,container,容器
570,contemporary,現代の
571,content,中身，目次/満足して
572,continent,大陸
573,continual,継続的な
574,continuous,連続の
575,contract,契約
576,contrary,反対の
577,contrast,対照
578,contribute,寄付する，貢献する
579,contribution,寄付，貢献
580,contributor,貢献者，寄与者
581,controversial,議論を引き起こす、議論の的になる
582,controversy,論争
583,convenience,便利
584,convenient,都合がよい
585,conveniently,便利に
586,convention,（大規模な）会議
587,conventional,従来の
588,convergence,収束
589,conversation,会話
590,conversion,変換
591,convert,変える，変わる
592,convey,伝える，を運ぶ
593,convince,納得させる，説得する
594,cooperate,協力する
595,cooperative,協力的な
596,cope,対処する
597,copper,銅
598,copyright,著作権
599,core competency,核となる技術
600,corporation,法人
601,correct,正確な/を訂正する
602,correspondent,特派員
603,corresponding,一致する
604,cost,費用として払う、費用
605,cost-effective,費用対効果の高い
606,could,～できた
607,council,議会
608,counsel,助言，相談，弁護士
609,counter,相対する
610,counterpart,相手，副本，写し
611,countless,数え切れないほどの、無数の
612,country,国，いなか，地方
613,countryside,田舎
614,county,州、郡
615,coupon,割引購入権
616,courage,勇気
617,courageous,勇気のある
618,courtesy,礼儀
619,courtroom,法廷
620,coworker,同僚
621,crack,亀裂
622,cradle,ゆりかご
623,crane,鶴
624,crate,箱
625,crawl,這う
626,creative,創造的な
627,credentials,資格、経歴、資質
628,credit,信用
629,creditor,債権者
630,crescent,三日月
631,crew,乗組員，一団
632,crime,犯罪
633,crisis,危機
634,crisp,新鮮な
635,criterion,基準
636,critic,批評家，批判者
637,critical,極めて重要な，非常に深刻な
638,critically,批判的に，危なく
639,criticism,批判
640,criticize,批判する
641,critics,批評
642,crop,収穫物
643,crowd,群衆
644,crucial,重要な
645,cruise,巡航する
646,cuisine,料理
647,culinary,料理の
648,cultivate,を耕作する，を栽培する
649,cunning,ずる賢い，狡猾な
650,cupboard,食器棚
651,curator,学芸員
652,cure,治療する
653,curiosity,好奇心
654,curious,好奇心が強い
655,currency,通貨
656,current,現在の、目下の/流れ
657,currently,現在のところ、現在
658,custodian,管理人
659,custom,習慣
660,customer,顧客
661,customer-satisfaction,顧客満足
662,cutlery,食器
663,cutting-edge,最先端の
664,damaged,損傷した
665,dare,思い切って…する，生意気にも…する
666,date,日付
667,day-to-day,日々の，毎日の
668,deadline,締め切り
669,debate,討論
670,debit,借り方
671,debris,破片
672,debt,借金，負債
673,decade,10年
674,decent,まともな
675,decided,決定した
676,decision,決定、決心
677,declare,宣言する
678,decline,を断る，衰退する/低下，衰退
679,decor,装飾
680,decrease,減少する/減少
681,dedicate,捧げる
682,deducted,差し引かれた
683,default,債務不履行
684,defeat,を負かす
685,defect,欠陥
686,deficit,赤字
687,define,の意味を明確に述べる
688,definite,明確な
689,definition,定義
690,degree,程度、度
691,delay,を遅らせる
692,delayed,遅れた
693,delegate,委譲する、委任する
694,deliberately,故意に
695,delicate,微妙な，繊細な
696,delicatessen,惣菜
697,delighted,喜んで
698,deliver,を配達する
699,delivery,郵送、配達
700,demand,要求，需要/…を要求する
701,demanding,要求の厳しい
702,demerger,解体
703,democracy,民主主義
704,democratic,民主主義の，民主的な
705,demolition,解体
706,demonstrate,実証する
707,demonstration,デモ、実演
708,dental,歯科の
709,dentistry,歯科
710,deny,否定する
711,depart,出発する
712,department,部門、課
713,departure,出発
714,depend,依存する，次第である
715,dependent,依存している
716,deplete,使い果たす
717,deposit,お金を預ける
718,depot,停車場，倉庫
719,depreciation,減価償却
720,depress,落胆させる
721,depression,不景気
722,deprive,奪う
723,deregulation,規制緩和
724,derive,引き出す
725,describe,について述べる、を描写する
726,description,説明、描写
727,desert,砂漠/を立ち去る
728,deserve,値する
729,deserving,値する
730,design,設計/設計する
731,designate,選定する
732,designated,指定された
733,designed,設計された
734,designer,設計者、デザイナー
735,desirable,望ましい
736,desire,願望/を強く望む
737,despite,にもかかわらず
738,destination,目的地
739,destruction,破壊
740,detail,詳細
741,detailed,詳細の
742,detective,探偵，刑事
743,detergent,洗剤
744,deterioration,悪化
745,determination,決定，決意
746,determine,を決める
747,detour,迂回する
748,develop,を発達［発展］させる、発達する
749,developed,開発された
750,development,発展、発達
751,device,装置、仕掛け
752,devise,考え出す
753,devote,時間・努力を注ぐ
754,devoted,献身的な
755,diabetes,糖尿病
756,diagnose,診断する
757,dialect,方言，なまり
758,dietary,食事の
759,different,違った
760,digit,桁
761,dignity,威厳，尊厳
762,dilemma,板ばさみ
763,diligence,勤勉
764,dilute,薄める
765,diminish,減る，を減らす
766,diner,簡易食堂
767,diplomatic,外交上の，外交官の
768,direct,直接の
769,direction,方向、指針
770,director,監督
771,directory,住所氏名録
772,dirt,泥
773,disabled,障害のある
774,disadvantage,不利，デメリット
775,disagree,一致しない
776,disappointment,失望
777,disassemble,分解する，解体する
778,disaster,災害
779,discipline,しつけ，規律
780,disclose,開示する
781,discontinued,（製造・販売が）終了した
782,discourage,をがっかりさせる
783,discover,発見する
784,discovery,発見
785,discuss,議論する
786,discussed,議論された
787,discussing,議論している
788,disease,病気
789,dismiss,解雇する，退出させる
790,display,展示/展示する
791,displayed,表示された
792,disposal,廃棄
793,dispute,争議，口論
794,disregard,無視する
795,disruption,破壊
796,dissatisfaction,不満
797,disseminate,普及させる
798,distance,距離
799,distant,遠く離れた
800,distinct,はっきり異なる
801,distinction,区別，違い
802,distinctive,特有の
803,distinguish,見分ける、区別する
804,distinguished,際立って優れた、傑出した
805,distribute,配布する
806,distributed,配布した
807,distribution,分布
808,district,地域，地区
809,disturb,平穏を妨げる
810,diverse,多様な
811,diversification,多様化
812,diversify,多様化する
813,diversity,多様性
814,divide,分割する
815,dividend,配当
816,division,分割、部門
817,divorce,離婚
818,document,書類
819,documentary,事実を記録した
820,domestic,国内の，家庭内の
821,dominate,支配する
822,donate,寄付する
823,donation,寄付
824,donor,提供者，寄贈者
825,dormitory,寮
826,doubtful,疑わしい
827,downside,欠点
828,draft,草案
829,drain,排出させる
830,drainage,排水，排水路
831,drapery,カーテン
832,drastically,劇的に
833,draw,描く，引く
834,drawer,引き出し
835,driver,運転手
836,due,行われる予定の/納期
837,dull,面白みのない，鈍い
838,duration,持続時間
839,during,～の間、～を通じて
840,duty,職務、義務
841,dwell,住む
842,earn,を稼ぐ
843,ease,容易さ
844,eatery,食堂
845,economic,経済の，経済的な
846,economics,経済学
847,economy,経済
848,edge,端
849,edit,編集する
850,edition,版
851,editor,編集者
852,editorial,編集の
853,education,教育
854,effective,効果的な
855,effectively,効果的に
856,efficiency,効率性
857,effort,努力
858,either,(もまた)～でない
859,elaborate,手の込んだ
860,election,選挙
861,electric,電気の
862,electrical,電気の
863,electricity,電気
864,electronic,電子の
865,elegant,優雅な
866,element,要素
867,elementary,初歩の，基本の
868,eligible,資格のある
869,eliminate,を取り除く
870,embarked,乗り出した
871,embarrass,恥ずかしがらせる
872,embarrassing,恥ずかしい
873,emblem,象徴
874,embrace,抱きしめる
875,emerge,現れる
876,emerging,新たに現れた、新興の
877,emission,排出
878,emperor,皇帝，天皇
879,emphasis,強調
880,emphasize,を強調する
881,employ,を雇う
882,employee,従業員
883,employer,雇用者
884,employment,雇用
885,empower,力を与える
886,emulation,競争，対抗
887,enable,可能にする
888,enclose,囲む、同封する
889,enclosure,同封物
890,encounter,遭遇する
891,encourage,を励ます、を助長する
892,encouraged,励ました
893,endangered,絶滅の危機に瀕した
894,endeavor,努力
895,endorse,支持する
896,endure,耐える
897,enforcement,執行
898,engaged,従事している，婚約している
899,engagement,約束
900,enhance,高める，増す
901,enhancement,強化
902,enlarge,拡大する
903,enormous,非常に大きい
904,enough,十分な
905,enrich,豊かにする
906,enroll,登録する、入会する
907,ensure,を確実にする、を保証する
908,entail,伴う
909,enterprise,企業
910,entertain,を楽しませる
911,entertaining,おもしろい、愉快な
912,entertainment,娯楽
913,enthusiasm,情熱，熱意
914,enthusiastic,熱狂的な
915,enthusiastically,熱狂的に
916,entire,全体の，全体
917,entirely,完全に，全く
918,entity,実在，実体
919,entrance,入り口、入学
920,entrepreneur,起業家
921,entry,入場
922,envelope,封筒
923,environment,環境，状況
924,equal,等しい/に等しい
925,equality,平等さ
926,equally,同等に
927,equation,方程式
928,equator,赤道
929,equip,に備え付ける
930,equipment,装置、設備
931,equities,株式
932,equity,公平
933,equivalent,等しい，同等の
934,era,時代
935,especially,特に
936,essentially,本質的に
937,establish,を設立する
938,establishment,設立
939,estate,財産
940,esteem,尊重する
941,estimate,を推定する、
942,evaluate,評価する
943,evaluation,評価
944,even,～さえ
945,evenly,均等に
946,event,出来事、行事
947,eventually,最終的には
948,ever,今まで
949,every,毎～
950,evidence,証拠
951,evident,明らかな
952,evolution,進化，進展
953,evolve,進化する
954,exact,正確な
955,exactly,正確［厳密］に，ちょうど
956,examination,試験
957,examine,を検査する，を調べる
958,exceed,超える
959,except,を除いて
960,exception,例外
961,exceptional,並外れた
962,exceptionally,例外的に
963,excerpt,抜粋
964,excess,過ぎる
965,exchange,交換する
966,exclude,を除く，排除する
967,exclusion,除外
968,exclusive,排他的な
969,exclusively,排他的に
970,excuse,許す
971,executive,幹部、重役
972,exercise,練習する
973,exert,行使する
974,exhaust,疲れ果てさせる
975,exhausted,疲れ切った
976,exhibit,を表示する、を展示する
977,exhibition,展示
978,exhibitor,展示者
979,exist,存在する
980,existing,既存の
981,expand,を拡大する
982,expanded,拡大された
983,expansion,拡張
984,expect,期待した
985,expectation,期待
986,expected,期待した
987,expecting,期待している
988,expedite,促進する
989,expenditure,支出
990,expense,費用、出費、犠牲
991,expensive,値段が高い
992,experience,経験/を経験する
993,experienced,経験した
994,experiment,実験
995,expert,専門家
996,expertise,専門知識
997,expiration,期限切れ，（契約などの）終了
998,expire,期限が切れる
999,expired,期限切れの
1000,explain,説明する
1001,explanation,説明
1002,exploration,探査
1003,explore,を探索，探検する
1004,explosion,爆発
1005,expo,博覧会
1006,export,を輸出する/輸出
1007,exporter,輸出者
1008,expose,明らかにする，をさらす
1009,exposure,暴露
1010,express,を表現する
1011,expression,表現
1012,extend,延びる，を拡張する
1013,extension,拡張
1014,extensive,広範な
1015,extent,程度
1016,exterior,外観
1017,external,外部の
1018,extinction,絶滅
1019,extra,余分の
1020,extract,抽出する
1021,extraordinary,普通でない，並はずれた
1022,extreme,極端な
1023,fabric,織物
1024,facilitate,容易にする、促進する
1025,facilitator,進行役
1026,facility,施設、設備
1027,fact,事実
1028,factor,要因，要素
1029,factory,工場
1030,faculty,学部
1031,fade,次第に消える
1032,fading,次第に消えていく
1033,failure,失敗，失敗作，失敗者
1034,faint,かすかな，わずかな
1035,fair,公平な、かなりの
1036,fairly,かなり，公平に
1037,faith,信頼，信仰
1038,faithfully,忠実に
1039,fame,名声
1040,familiar,馴染みのある
1041,family-owned,家族経営の
1042,far,遠くに、はるかに
1043,fare,運賃
1044,farmer,農家
1045,fascinate,魅了する
1046,fastened,固定した
1047,fate,運命
1048,fault,欠点，過失
1049,faulty,欠点のある
1050,favor,親切な行為
1051,favorable,好ましい
1052,feature,特徴/を目玉とする
1053,features,機能
1054,fee,料金
1055,feed,に食べ物を与える，を養う
1056,feedback,反応
1057,fellow,仲間、同士
1058,fertilizer,肥料
1059,festival,祭り
1060,fetch,取ってくる，誘い出す
1061,fiction,創作
1062,figure,図，表
1063,finally,ついに
1064,finance,財政
1065,financial,財政の、金融の
1066,find,見つける
1067,fire,解雇する
1068,firm,しっかりした、堅い/会社
1069,fix,を固定する、を修理する
1070,flagship,旗艦
1071,flair,才能，勘
1072,flame,炎
1073,flash,閃光
1074,flat,平らな
1075,flatten,平らにする
1076,flavor,風味
1077,flexibility,柔軟性
1078,flexible,柔軟な
1079,flip,はじく、ひっくり返す
1080,float,浮かぶ
1081,floor,床、階
1082,floor-to-ceiling,床から天井まで
1083,flow,流れる/流れ
1084,fluid,流動性の，変わりやすい
1085,flyer,チラシ
1086,fold,を折りたたむ
1087,follow,の後を追う
1088,followed,従った
1089,foray,不意打ち
1090,force,力/を強制する
1091,forecast,予報、予測
1092,foresee,予見する，予測する
1093,form,形態/を形成する
1094,formally,正式に
1095,former,前の/前者
1096,formerly,以前は
1097,formula,式
1098,forthcoming,今後の
1099,fortunate,幸運な
1100,fortunately,幸いにも
1101,fortune,運，財産
1102,forum,公開討論会
1103,forward,前方へ
1104,found,を設立する
1105,foundation,土台，根拠，設立
1106,founder,創設者
1107,fountain,噴水
1108,fragile,もろい
1109,frame,骨組み，枠組み
1110,framework,骨格
1111,freight,貨物、輸送、輸送料/輸送する
1112,frequency,周波数
1113,frequent,頻繁な
1114,frequently,頻繁に
1115,friendliness,親しみやすさ
1116,frustrate,挫折させる
1117,fuel,燃料
1118,fulfill,を果たす，をかなえる
1119,fully,十分に，完全に
1120,fund,資金
1121,fundamental,基本的な，根本的な
1122,funding,資金調達
1123,fund-raising,資金調達
1124,funeral,葬式
1125,funny,おかしな
1126,fur,毛皮
1127,furniture,家具、調度品
1128,further,さらに
1129,furthermore,その上に
1130,fusion,融合，溶解
1131,gain,を得る/獲得
1132,gala,祭り
1133,garage,倉庫
1134,garbage,生ゴミ，くず
1135,garden,庭
1136,garment,衣服
1137,gas,ガソリン
1138,gather,を集める，集まる
1139,gaze,じっと見つめる
1140,gene,遺伝子
1141,general,一般的な、全般的な
1142,generally,一般的に
1143,generate,を発生させる
1144,generation,世代
1145,generosity,寛大さ
1146,genius,天才
1147,genuine,本物の，偽りのない
1148,giveaway,景品，無料サンプル
1149,given,~を考慮すると、~と仮定すると
1150,glad,うれしい
1151,glance,一目見る
1152,glory,栄光
1153,glowing,白熱した、真っ赤に熟した
1154,govern,統治する
1155,government,政府，統治
1156,governor,知事、長官
1157,graduate,卒業する
1158,grain,穀物
1159,grand,壮大な
1160,grant,給付金/を与える
1161,grasp,つかむ，を理解する
1162,grateful,感謝して
1163,grave,墓/深刻な
1164,gravity,重力
1165,greet,挨拶する
1166,greeting,あいさつ
1167,grief,悲しみ
1168,grin,歯を見せて笑う
1169,grocery,食料品
1170,grow,増加する、育てる
1171,guarantee,を保証する
1172,guess,だと思う，を推測する
1173,guest,客
1174,guilty,有罪の
1175,habit,習慣
1176,Hall,玄関の広間、ろうか
1177,handcrafted,手作りの
1178,handicraft,手芸
1179,handle,を手で扱う，にうまく対処する
1180,handout,配布物
1181,hands-on,実地の、実用的な
1182,hang,つるす，を絞首刑にする
1183,happen,起こる
1184,hard-to-reach,到達するのが難しい
1185,harmful,有害な
1186,harmonize,調和させる
1187,harmony,調和
1188,harvest,収穫/を収穫する
1189,haul,運搬する
1190,head,頭，先頭
1191,headquarters,本部
1192,healthy,健康な
1193,heaven,天
1194,hedge,垣根，防止策
1195,held,開催された
1196,herb,薬草
1197,hereby,ここに
1198,heritage,遺産
1199,hesitate,ためらう
1200,highlight,目立たせる
1201,highly,とても，高く
1202,hire,を雇う
1203,historic,由緒のある
